orthologous_group_with_unitary_gene_loss	sbi	unitary_gene_loss_status
13836	relic-lacking	sbi
14620	relic-lacking	sbi
11051	relic-retaining	sbi
11297	relic-retaining	sbi
12423	relic-retaining	sbi
9201	relic-retaining	sbi
16329	relic-retaining	sbi
834	relic-retaining	sbi
6026	relic-retaining	sbi
14917	relic-lacking	sbi
290	relic-lacking	sbi
9445	relic-retaining	sbi
15100	relic-lacking	sbi
6845	relic-retaining	sbi
12352	relic-retaining	sbi
3967	relic-retaining	sbi
12949	relic-retaining	sbi
8076	relic-retaining	sbi
11984	relic-retaining	sbi
