orthologous_group_with_unitary_gene_loss	zm	unitary_gene_loss_status
8146	relic-retaining	zm
4679	relic-retaining	zm
15110	relic-retaining	zm
6404	relic-retaining	zm
10908	relic-retaining	zm
6716	relic-retaining	zm
16396	relic-retaining	zm
12169	relic-retaining	zm
9499	relic-lacking	zm
3004	relic-retaining	zm
6080	relic-lacking	zm
1563	relic-retaining	zm
6768	relic-retaining	zm
10910	relic-retaining	zm
13503	relic-retaining	zm
13537	relic-lacking	zm
14426	relic-retaining	zm
1548	relic-retaining	zm
6157	relic-lacking	zm
5341	relic-retaining	zm
9736	relic-retaining	zm
7166	relic-retaining	zm
3341	relic-retaining	zm
16149	relic-retaining	zm
10134	relic-retaining	zm
1336	relic-retaining	zm
13923	relic-retaining	zm
5779	relic-retaining	zm
7410	relic-retaining	zm
10320	relic-retaining	zm
12363	relic-retaining	zm
10511	relic-retaining	zm
4712	relic-lacking	zm
13926	relic-retaining	zm
2257	relic-retaining	zm
16361	relic-lacking	zm
1878	relic-retaining	zm
12650	relic-lacking	zm
4351	relic-retaining	zm
15180	relic-retaining	zm
