orthologous_group_with_gene_loss	parental_pep	loss_chr	loss_strand	loss_start	loss_end	position_status	organism_with_gene_loss
311	BRADI2G25560	6	+	146397216	146546266	gap	zm
311	LOC_Os05g33830	6	+	146397216	146546266	gap	zm
311	Sb09g020130	6	+	146397216	146546266	gap	zm
414	BRADI1G12350	5	+	13426278	13525200	gap	zm
414	LOC_Os03g47940	5	+	13426278	13525200	gap	zm
414	Sb01g011850	5	+	13426278	13525200	gap	zm
461	BRADI3G55510	4	-	170071337	170305651	gap	zm
461	BRADI3G55510	5	+	214942464	214991558	gap	zm
461	LOC_Os02g57370	4	-	170071337	170305651	gap	zm
461	LOC_Os02g57370	5	+	214942464	214991558	gap	zm
461	Sb04g037380	4	-	170071337	170305651	gap	zm
461	Sb04g037380	5	+	214942464	214991558	gap	zm
501	BRADI4G42160	10	+	5431828	5879986	gap	zm
501	LOC_Os12g06070	10	+	5431828	5879986	gap	zm
501	Sb08g003540	10	+	5431828	5879986	gap	zm
952	BRADI1G45311	NA	NA	NA	NA	NA	not_in_synteny	zm
952	LOC_Os06g12129	NA	NA	NA	NA	NA	not_in_synteny	zm
952	Sb03g038040	NA	NA	NA	NA	NA	not_in_synteny	zm
1337	BRADI1G23120	2	+	205192213	205299034	gap	zm
1337	BRADI1G23130	2	+	205192213	205299034	gap	zm
1337	LOC_Os07g39740	2	+	205192213	205299034	gap	zm
1337	LOC_Os07g39750	2	+	205192213	205299034	gap	zm
1337	Sb02g037820	2	+	205192213	205299034	gap	zm
1622	BRADI2G01810	3	+	24383489	24601358	gap	zm
1622	LOC_Os01g03500	3	+	24383489	24601358	gap	zm
1622	Sb03g007510	3	+	24383489	24601358	gap	zm
1743	BRADI1G61730	9	+	123513577	123623851	gap	zm
1743	LOC_Os03g24890	9	+	123513577	123623851	gap	zm
1743	Sb01g034590	9	+	123513577	123623851	gap	zm
1795	BRADI1G17220	2	+	214623614	214641978	gap	zm
1795	BRADI1G17220	7	+	168450346	168521419	gap	zm
1795	LOC_Os07g48810	2	+	214623614	214641978	gap	zm
1795	LOC_Os07g48810	7	+	168450346	168521419	gap	zm
1795	Sb02g043490	2	+	214623614	214641978	gap	zm
1795	Sb02g043490	7	+	168450346	168521419	gap	zm
1803	BRADI3G09110	4	-	233333701	234267307	gap	zm
1803	BRADI3G09110	5	-	144370189	145118677	gap	zm
1803	LOC_Os02g14190	4	-	233333701	234267307	gap	zm
1803	LOC_Os02g14190	5	-	144370189	145118677	gap	zm
1803	Sb02g025980	7	+	116913133	117029957	gap	zm
1951	BRADI1G72870	1	-	16155398	16240728	gap	zm
1951	BRADI1G72870	9	+	146328464	146476442	gap	zm
1951	LOC_Os03g07980	1	-	16155398	16240728	gap	zm
1951	LOC_Os03g07980	9	+	146328464	146476442	gap	zm
1951	Sb01g045390	1	-	16155398	16240728	gap	zm
1951	Sb01g045390	9	+	146328464	146476442	gap	zm
2029	BRADI1G12320	5	+	13426278	13525200	gap	zm
2029	LOC_Os03g47980	5	+	13426278	13525200	gap	zm
2029	Sb01g011830	5	+	13426278	13525200	gap	zm
