orthologous_group_with_gene_loss	parental_pep	loss_chr	loss_strand	loss_start	loss_end	position_status	organism_with_gene_loss
1263	BRADI1G62007	NA	NA	NA	NA	NA	not_in_synteny	osm
1263	GRMZM2G033592	3	-	13744573	13781545	gone	osm
1263	Sb01g034960	3	-	13744573	13781545	gone	osm
1958	BRADI1G20850	7	+	25384628	25394779	gone	osm
1958	BRADI1G60290	3	-	16303101	16581797	hit	osm
1958	GRMZM2G109120	7	+	25384628	25394779	gone	osm
1958	GRMZM2G472234	3	-	16303101	16581797	hit	osm
1958	Sb01g033040	3	-	16303101	16581797	hit	osm
1958	Sb02g039220	7	+	25384628	25394779	gone	osm
2139	BRADI1G38715	NA	NA	NA	NA	NA	not_in_synteny	osm
2139	GRMZM2G056078	NA	NA	NA	NA	unknown	osm
2139	GRMZM2G070378	NA	NA	NA	NA	NA	not_in_synteny	osm
2139	Sb10g020830	NA	NA	NA	NA	unknown	osm
2364	BRADI5G02520	NA	NA	NA	NA	NA	not_in_synteny	osm
2364	GRMZM2G134192	NA	NA	NA	NA	NA	not_in_synteny	osm
2364	Sb03g009310	NA	NA	NA	NA	NA	not_in_synteny	osm
2364	Sb03g009340	NA	NA	NA	NA	NA	not_in_synteny	osm
2700	BRADI3G21740	NA	NA	NA	NA	unknown	osm
2700	GRMZM2G101130	NA	NA	NA	NA	unknown	osm
2700	Sb07g015050	NA	NA	NA	NA	unknown	osm
2916	BRADI2G54990	NA	NA	NA	NA	unknown	osm
2916	GRMZM2G177801	NA	NA	NA	NA	NA	not_in_synteny	osm
2916	GRMZM2G312933	NA	NA	NA	NA	NA	not_in_synteny	osm
2916	Sb03g039900	NA	NA	NA	NA	unknown	osm
3843	BRADI5G07850	NA	NA	NA	NA	unknown	osm
3843	GRMZM2G000980	NA	NA	NA	NA	unknown	osm
3843	GRMZM2G034313	NA	NA	NA	NA	unknown	osm
3843	Sb01g038690	NA	NA	NA	NA	NA	not_in_synteny	osm
3843	Sb06g025810	NA	NA	NA	NA	NA	not_in_synteny	osm
3942	BRADI1G57650	NA	NA	NA	NA	NA	not_in_synteny	osm
3942	BRADI3G32027	NA	NA	NA	NA	NA	not_in_synteny	osm
3942	GRMZM2G506660	NA	NA	NA	NA	NA	not_in_synteny	osm
3942	Sb01g030635	NA	NA	NA	NA	NA	not_in_synteny	osm
4395	BRADI3G60220	NA	NA	NA	NA	unknown	osm
4395	BRADI4G30890	NA	NA	NA	NA	unknown	osm
4395	GRMZM2G176876	NA	NA	NA	NA	unknown	osm
4395	Sb04g035300	NA	NA	NA	NA	unknown	osm
5045	BRADI1G03840	NA	NA	NA	NA	unknown	osm
5045	GRMZM2G119186	NA	NA	NA	NA	unknown	osm
5045	GRMZM2G155329	NA	NA	NA	NA	unknown	osm
5045	Sb01g003330	NA	NA	NA	NA	unknown	osm
5577	BRADI2G01010	1	+	603643	613107	gone	osm
5577	GRMZM2G180605	1	+	603643	613107	gone	osm
5577	Sb03g001000	1	-	7044745	7086518	gone	osm
5577	Sb03g008280	1	+	603643	613107	gone	osm
5724	BRADI5G11290	NA	NA	NA	NA	NA	not_in_synteny	osm
5724	GRMZM2G086971	NA	NA	NA	NA	NA	not_in_synteny	osm
5724	Sb06g017640	NA	NA	NA	NA	NA	not_in_synteny	osm
6264	BRADI1G59690	7	-	137870	155715	gone	osm
6264	BRADI5G00970	4	+	5614949	5782485	gone	osm
6264	GRMZM2G108609	NA	NA	NA	NA	NA	not_in_synteny	osm
6264	GRMZM2G390124	7	-	137870	155715	gone	osm
6264	Sb01g039090	NA	NA	NA	NA	NA	not_in_synteny	osm
6264	Sb02g000380	7	-	137870	155715	gone	osm
6264	Sb06g002820	4	+	5614949	5782485	gone	osm
8182	BRADI3G29610	10	+	18518185	18596811	gone	osm
8182	GRMZM2G031625	NA	NA	NA	NA	NA	not_in_synteny	osm
8182	Sb01g018560	10	+	18518185	18596811	gone	osm
8182	Sb06g030830	NA	NA	NA	NA	NA	not_in_synteny	osm
8285	BRADI1G54970	NA	NA	NA	NA	unknown	osm
8285	GRMZM2G001956	NA	NA	NA	NA	unknown	osm
8285	Sb02g005160	NA	NA	NA	NA	unknown	osm
8729	BRADI2G16810	NA	NA	NA	NA	unknown	osm
8729	GRMZM2G451224	NA	NA	NA	NA	NA	not_in_synteny	osm
8729	Sb09g028260	NA	NA	NA	NA	unknown	osm
8901	BRADI3G34440	10	-	22797121	22841803	hit	osm
8901	GRMZM2G174650	10	-	22797121	22841803	hit	osm
8901	Sb01g028215	10	-	22797121	22841803	hit	osm
9177	AC210003.2_FG015	NA	NA	NA	NA	unknown	osm
9177	BRADI5G24620	NA	NA	NA	NA	unknown	osm
9177	Sb06g031340	NA	NA	NA	NA	unknown	osm
10186	BRADI1G14610	NA	NA	NA	NA	NA	not_in_synteny	osm
10186	BRADI5G18200	NA	NA	NA	NA	unknown	osm
10186	GRMZM2G019876	NA	NA	NA	NA	unknown	osm
10186	Sb06g025180	NA	NA	NA	NA	unknown	osm
10993	BRADI1G32500	NA	NA	NA	NA	NA	not_in_synteny	osm
10993	GRMZM2G361391	NA	NA	NA	NA	NA	not_in_synteny	osm
10993	Sb09g025240	NA	NA	NA	NA	NA	not_in_synteny	osm
10993	Sb10g031060	NA	NA	NA	NA	NA	not_in_synteny	osm
11109	BRADI1G21780	7	+	24966138	24994157	hit	osm
11109	GRMZM2G009320	7	+	24966138	24994157	hit	osm
11109	GRMZM2G128072	7	+	24966138	24994157	hit	osm
11109	Sb02g038940	7	+	24966138	24994157	hit	osm
11343	BRADI4G32200	NA	NA	NA	NA	NA	not_in_synteny	osm
11343	GRMZM2G096271	NA	NA	NA	NA	NA	not_in_synteny	osm
11343	Sb02g026670	NA	NA	NA	NA	NA	not_in_synteny	osm
12673	BRADI2G53370	1	+	34836055	34842570	hit	osm
12673	GRMZM2G350399	1	+	34836055	34842570	hit	osm
12673	Sb03g038050	1	+	34836055	34842570	hit	osm
13092	BRADI5G25277	NA	NA	NA	NA	NA	not_in_synteny	osm
13092	GRMZM2G119916	NA	NA	NA	NA	NA	not_in_synteny	osm
13092	Sb06g031940	NA	NA	NA	NA	unknown	osm
13126	BRADI4G14990	NA	NA	NA	NA	unknown	osm
13126	GRMZM2G116461	NA	NA	NA	NA	NA	not_in_synteny	osm
13126	GRMZM2G158175	NA	NA	NA	NA	unknown	osm
13126	Sb05g022855	NA	NA	NA	NA	unknown	osm
13233	BRADI2G58500	NA	NA	NA	NA	unknown	osm
13233	GRMZM2G170941	NA	NA	NA	NA	unknown	osm
13233	Sb03g041490	NA	NA	NA	NA	NA	not_in_synteny	osm
14020	BRADI1G16075	NA	NA	NA	NA	NA	not_in_synteny	osm
14020	GRMZM2G032821	NA	NA	NA	NA	NA	not_in_synteny	osm
14020	Sb01g032050	3	-	17887236	18404693	gap	osm
14191	BRADI5G20997	NA	NA	NA	NA	NA	not_in_synteny	osm
14191	GRMZM2G076688	NA	NA	NA	NA	NA	not_in_synteny	osm
14191	Sb03g040220	1	+	36813330	36863751	gone	osm
14515	BRADI4G07534	NA	NA	NA	NA	NA	not_in_synteny	osm
14515	GRMZM2G000339	12	-	17414492	17458402	gone	osm
14515	Sb08g014050	12	-	17414492	17458402	gone	osm
16346	BRADI5G21510	NA	NA	NA	NA	unknown	osm
16346	GRMZM2G031477	NA	NA	NA	NA	unknown	osm
16346	GRMZM2G093632	NA	NA	NA	NA	unknown	osm
16346	Sb02g032805	9	+	22266748	22288979	hit	osm
16346	Sb06g028225	NA	NA	NA	NA	unknown	osm
