orthologous_group_with_unitary_gene_loss	functional_counterpart	chr	start	end	strand	frameshift_num	preliminary_stop-codon_num
3742		6	7220866	7222991	+	0	0
1624		5	7534200	7534382	-	0	0
5078		1	15957933	15958337	-	0	0
578		5	16694683	16713877	+	1	0
3191		3	2226686	2227378	-	0	0
12784		1	30363519	30363858	-	0	0
15807		7	28260751	28270163	+	0	0
826		12	3708976	3709445	+	0	0
6239		6	25235777	25237075	-	0	0
11050		9	16084193	16092592	+	0	0
13796		3	36104252	36104760	+	0	0
12301		6	7156864	7157760	-	2	0
11561		7	15925283	15925947	+	0	0
215		7	29464493	29465899	+	0	0
13093		3	15562343	15563424	-	0	0
4661		2	31116719	31123360	-	2	0
12012		2	6069713	6075565	+	6	0
7551		8	2182049	2182927	-	0	0
14753		10	22866940	22867254	-	2	0
1001		3	18206268	18207558	+	0	1
2783		1	9525223	9525897	+	0	0
11382		6	839627	840261	+	0	0
2057		6	31089445	31092123	-	0	0
9754		4	23187402	23192613	-	0	0
6691		2	22327795	22328430	+	0	0
15240		9	12547452	12549095	-	3	1
8971		4	19959380	19960647	+	1	0
5848		4	28392118	28405921	-	0	0
9280		1	14802002	14803221	-	0	0
9498		12	14906287	14908547	-	0	0
13596		1	33447459	33447806	+	0	0
8521		7	3774763	3778528	+	0	0
8644		1	27353067	27356796	+	0	0
8865		9	816637	821749	+	0	0
15637		6	31185582	31196701	-	1	0
3104		7	4573633	4573947	-	0	0
15260		5	29219706	29220855	-	0	0
5021		3	1745205	1747357	-	0	0
2056		4	34283847	34302785	+	2	-2
14448		5	493555	493814	+	0	0
5038		3	3647956	3649018	+	0	0
15090		1	594858	595570	+	0	0
9871		6	8758310	8763311	-	3	0
2157		7	7785855	7787107	+	0	0
395		3	22701558	22703829	+	0	0
13009		5	3211337	3213805	+	0	0
2765		3	22339871	22341816	-	0	0
15063		11	256123	257590	-	0	0
8198		1	7351551	7355314	-	0	0
8295		9	15213995	15220638	-	0	0
11169		6	6243341	6243760	-	0	0
8418		1	2390474	2393857	-	0	0
12430		5	941507	944469	+	1	0
6525		8	2157235	2157832	+	0	0
4582		5	718097	718612	+	0	0
4580		2	8767167	8768173	-	0	0
2822		2	31276078	31277295	+	0	0
15104		3	28689701	28696026	-	1	0
12638		3	27984104	27987959	-	0	
