orthologous_group_with_unitary_gene_loss	functional_counterpart	chr	start	end	strand	frameshift_num	preliminary_stop-codon_num
13625		3	11829315	11830573	-	1	0
6700		2	11757956	11758453	+	0	0
3779		3	4132824	4133104	+	0	0
15382		4	6949517	6961568	+	5	0
12969		1	73808267	73809911	-	2	0
1335		3	32869434	32871045	-	0	0
13867		3	39610789	39613392	-	0	0
2048		3	56200520	56203103	-	0	0
9016		3	59554421	59555777	-	0	0
13068		3	1322398	1323928	-	0	0
7242		2	6146922	6149134	+	1	0
6271		5	22774774	22775990	+	0	0
11836		3	8659321	8660586	+	5	0
232		4	31084941	31085450	-	0	0
13461		4	48029089	48030222	+	0	0
12645		2	28249132	28249834	-	1	0
9774		1	24758889	24759260	-	0	0
7462		4	42449149	42457972	-	6	0
13518		4	5048036	5048584	-	0	0
4025		2	7393106	7394814	-	0	0
3633		3	11787526	11788539	-	0	0
6386		1	47133313	47134787	-	1	0
12476		3	28700853	28701342	+	0	0
589		2	19023	23949	+	0	0
511		1	10057103	10058129	+	5	0
7701		3	9387432	9388285	+	1	0
6489		1	12243342	12244076	+	0	0
4077		1	38277381	38279232	+	0	0
13688		4	17689453	17702621	+	0	0
3972		1	414162	416038	-	1	0
13870		2	38303749	38304204	-	1	0
14169		3	4664570	4665182	-	0	0
15873		2	34227995	34228268	-	0	0
14348		3	7087737	7088161	+	1	0
12882		4	23334731	23335681	+	0	0
4485		1	13420203	13422568	+	4	0
5272		3	3290567	3291759	-	0	0
14177		3	11653705	11654290	+	0	0
12350		1	21339396	21340201	-	1	0
12516		1	48134515	48135297	+	0	0
14058		5	584089	585579	+	0	0
13565		3	37237521	37238267	-	1	0
13572		1	19803544	19807729	+	0	0
6230		1	45153075	45153619	+	0	0
11381		3	1161705	1162094	+	0	0
201		1	34513181	34515061	+	2	0
2064		5	27148353	27150139	+	2	0
13843		3	4208885	4210711	-	0	0
6472		1	5012321	5015566	-	0	0
15844		1	67193522	67195837	+	0	0
7126		1	59557536	59558409	-	0	0
5756		2	50718053	50718525	+	0	0
5929		2	56688970	56690994	+	0	0
4490		4	1101987	1102910	+	0	0
5052		1	73228289	73228869	+	0	0
16297		3	6952614	6954737	+	0	0
13538		1	37178892	37182573	-	5	1
2318		2	9351216	9351950	+	0	0
182		1	2712718	2714763	+	2	0
11979		2	2153477	2154445	-	0	0
11860		1	16641523	16644112	-	0	0
10576		2	53590337	53590904	-	0	0
8133		2	56629378	56630663	+	2	0
14574		3	9855493	9858999	-	0	0
9461		2	9642966	9643772	+	0	
