orthologous_group_with_gene_loss	parental_pep	loss_chr	loss_strand	loss_start	loss_end	position_status	organism_with_gene_loss
238	GRMZM2G471065	NA	NA	NA	NA	NA	not_in_synteny	bdi
238	LOC_Os05g25480	NA	NA	NA	NA	NA	not_in_synteny	bdi
238	Sb01g006080	NA	NA	NA	NA	NA	not_in_synteny	bdi
252	GRMZM2G359986	NA	NA	NA	NA	NA	not_in_synteny	bdi
252	LOC_Os05g25390	NA	NA	NA	NA	NA	not_in_synteny	bdi
252	Sb07g010240	NA	NA	NA	NA	NA	not_in_synteny	bdi
740	GRMZM2G016434	NA	NA	NA	NA	NA	not_in_synteny	bdi
740	LOC_Os02g32140	NA	NA	NA	NA	NA	not_in_synteny	bdi
740	Sb04g021160	NA	NA	NA	NA	NA	not_in_synteny	bdi
947	GRMZM2G054603	NA	NA	NA	NA	NA	not_in_synteny	bdi
947	GRMZM2G167986	NA	NA	NA	NA	NA	not_in_synteny	bdi
947	LOC_Os10g26340	NA	NA	NA	NA	NA	not_in_synteny	bdi
947	Sb01g022690	NA	NA	NA	NA	NA	not_in_synteny	bdi
1338	GRMZM2G174716	NA	NA	NA	NA	NA	not_in_synteny	bdi
1338	LOC_Os05g01750	NA	NA	NA	NA	NA	not_in_synteny	bdi
1338	Sb09g000890	NA	NA	NA	NA	NA	not_in_synteny	bdi
1387	GRMZM2G387389	5	+	19412882	19417445	gone	bdi
1387	LOC_Os04g44090	5	+	19412882	19417445	gone	bdi
1387	Sb06g022853	5	+	19412882	19417445	gone	bdi
1907	GRMZM2G416156	NA	NA	NA	NA	NA	not_in_synteny	bdi
1907	GRMZM2G425482	NA	NA	NA	NA	NA	not_in_synteny	bdi
1907	LOC_Os07g42390	NA	NA	NA	NA	NA	not_in_synteny	bdi
1907	Sb01g033030	NA	NA	NA	NA	NA	not_in_synteny	bdi
2527	GRMZM2G005066	1	-	44912834	44950135	gone	bdi
2527	GRMZM2G701063	1	-	44912834	44950135	gone	bdi
2527	LOC_Os03g29614	NA	NA	NA	NA	NA	not_in_synteny	bdi
2527	LOC_Os06g10350	1	-	44912834	44950135	gone	bdi
2527	Sb01g032770	NA	NA	NA	NA	NA	not_in_synteny	bdi
