orthologous_group_with_unitary_gene_loss	functional_counterpart	chr	start	end	strand	frameshift_num	preliminary_stop-codon_num
13268		3	3449873	3451681	-	0	0
12171		2	26385946	26388097	+	0	0
7621		4	5008034	5012623	+	0	0
3341		2	105898980	105899359	-	1	1
653		8	99590459	99592444	-	0	0
9915		8	78853180	78857702	+	0	0
7121		6	94332529	94334803	-	0	0
13594		5	53979033	53979755	-	0	0
5779		4	64667915	64668524	+	1	0
2257		6	78614943	78618289	+	1	0
16065		1	80964711	80965709	+	0	0
12687		3	45038389	45038820	+	0	0
15848		5	210674900	210677259	+	0	0
11605		2	208219850	208223374	+	0	0
13926		9	13770151	13772331	+	2	0
1548		2	13644854	13645167	+	1	0
13322		1	38316602	38317504	+	0	0
1769		1	35497185	35498098	-	0	0
9736		9	15586965	15600088	+	1	0
14668		8	95126241	95129463	-	0	0
15650		1	11131499	11132205	+	0	0
13910		3	3887652	3888436	+	0	0
10320		8	87032664	87033740	+	1	0
8146		6	43621244	43624504	+	1	0
1336		2	37195611	37196572	-	1	0
10910		9	146464197	146468352	-	5	0
13574		2	1554418	1557742	+	0	0
10908		6	4839755	4840780	+	2	0
6151		5	5909784	5911182	+	0	0
6716		2	25378254	25384993	-	1	0
15180		5	70775212	70776194	+	1	0
12601		1	42184273	42185606	+	0	0
4956		4	37021047	37023751	+	0	0
10511		9	96969574	96969868	-	1	1
10134		7	80014741	80015633	+	2	2
15857		2	222320714	222321000	+	0	0
1636		1	27911886	27912528	+	0	0
6768		5	34093030	34094041	-	2	0
13633		2	2629640	2630095	-	0	0
4021		9	17663192	17666952	+	0	0
12717		4	13946833	13948047	+	0	0
8805		5	39918108	39918360	+	0	0
4679		9	147061492	147073346	+	1	0
12845		9	18892116	18893655	+	0	0
3239		2	9503415	9505580	-	0	0
1878		10	129970121	130032228	-	6	0
3092		9	8196566	8197224	-	0	0
16396		5	214079344	214080417	-	6	1
15110		7	122701128	122701901	-	3	0
14165		1	98761909	98762361	+	0	0
5751		3	55028188	55030034	-	0	0
13503		2	47274706	47275682	-	6	0
14152		1	8037587	8039158	-	0	0
11145		5	14760084	14760440	+	0	0
12564		9	26820592	26821263	+	0	0
1563		4	157731125	157734006	-	1	0
12169		6	9507533	9507804	-	1	0
3170		9	86863680	86865116	+	0	0
16225		9	20605451	20607508	-	0	0
2271		5	151884280	151885453	-	0	0
11659		4	75655327	75655693	-	0	0
13841		1	6231537	6233870	+	0	0
7975		4	9657936	9658385	-	0	0
14426		5	92354205	92355134	+	1	0
10732		5	662021	663343	+	0	0
12411		5	82445172	82445627	-	0	0
1874		6	96919652	96921985	+	0	0
9662		10	16504729	16506948	-	0	0
8468		6	97613859	97615139	+	0	0
5521		4	28027144	28027443	-	0	0
13923		2	30587738	30591421	+	1	0
12363		6	6183970	6186747	+	4	0
1943		8	3975039	4056891	-	0	0
9454		2	19828419	19829283	-	0	0
12196		2	10482456	10484762	+	0	0
196		8	78654570	78655900	-	0	0
1438		1	74213716	74215220	+	0	0
8905		6	16292736	16293216	-	0	0
16149		7	166296464	166296905	-	1	1
15940		5	205710419	205717195	+	0	0
5341		8	36726160	36758755	-	6	0
14013		8	8396339	8401361	+	0	0
175		3	19256028	19260654	-	0	0
10636		8	167829231	167830097	-	0	0
11893		2	204121815	204122671	+	0	0
9956		2	18203935	18205599	-	0	0
15138		2	68288730	68303934	+	0	0
14974		8	4348723	4350434	-	0	0
12872		7	19965421	19965910	+	0	0
11745		4	84244785	84251579	+	0	0
3004		2	116970539	116971801	-	0	2
15750		1	4305841	4307829	+	0	0
15039		5	61534760	61535041	-	0	0
1687		7	88915556	88916374	-	0	0
6683		3	3886132	3886551	+	0	0
10595		5	20596933	20597841	-	0	0
2037		10	10142613	10143617	-	0	0
7166		1	61142992	61145144	-	0	1
5466		9	83960653	83965165	-	0	0
8726		8	27650238	27652685	+	0	0
12653		1	8558131	8559456	-	0	0
6404		2	10340176	10346446	+	26	1
13557		5	24332146	24334481	-	0	0
14266		1	53947906	53949153	-	0	0
5437		5	16615853	16617607	+	0	0
6940		4	35272739	35274151	+	0	0
7410		2	97421292	97447648	-	1	0
3049		9	92555592	92555966	-	0	0
15870		5	1761324	1761692	+	0	0
6417		5	59295968	59303331	-	0	0
12427		6	64688408	64688939	+	0	0
3010		3	1631427	1631971	-	0	0
9030		6	81701562	81703321	-	0	0
5492		2	6314795	6316574	-	0	0
7590		7	1316444	1318342	-	0	0
10396		1	177046170	177046355	-	0	0
11434		9	21679957	21681604	+	0	0
15727		5	5019188	5019625	+	0	0
9524		2	66394558	66397789	+	0	0
4351		9	3650924	3652905	+	5	0
